Date,portfolio_value,daily_returns,portfolio_value_after_tc_5bps,portfolio_value_after_tc_10bps,portfolio_value_after_tc_20bps,portfolio_value_after_tc_50bps
2024-09-26,1.2748827303006804,0.013396313628595058,1.273065840063381,1.2712510071911074,1.267627506597,1.2568062011894914
2024-09-27,1.2762827885801247,0.0010981859320613463,1.2744639030595264,1.2726470771633234,1.2690195972918388,1.258186408078965
2024-09-30,1.26217939415595,-0.011050367951655038,1.2601052582213634,1.2580339442072868,1.2538997697314114,1.2415646553985595
2024-10-01,1.26077564061611,-0.0011121664213025184,1.258703811465863,1.2566348010976807,1.252505224511837,1.2401838288789493
2024-10-03,1.235990978318957,-0.01965826551426797,1.2339598777362457,1.2319315405232327,1.2278831442503755,1.2158039658843454
2024-10-04,1.225775201617735,-0.00826525183469895,1.2237608885928417,1.2217493160976998,1.2177343808395644,1.2057550399246855
2024-10-07,1.2144876806171365,-0.0092084755717865,1.2124919163445271,1.2104988673655674,1.2065209035406788,1.1946518740939809
2024-10-08,1.2213606904310306,0.005659184464021472,1.2193536317602556,1.2173493037494785,1.2133488278935132,1.2014126294197678
2024-10-09,1.2241105477257415,0.0022514702792182373,1.2220989702220204,1.220090129526297,1.2160806467178398,1.2041175742479835
2024-10-10,1.2231772672547174,-0.0007624151860776696,1.2211672234082331,1.2191599142831626,1.215153488365287,1.2031995367235542
2024-10-11,1.2243499108102909,0.0009586865182715787,1.2223379399618701,1.2203287064566033,1.2163184396322135,1.2043530278982015
2024-10-14,1.2301664148847105,0.0047506877103213885,1.2281448857911066,1.2261261070449192,1.2220967886952117,1.210074533026726
2024-10-15,1.2223504851096816,-0.006353554836531106,1.2203417999120274,1.218335847587307,1.2143321297326881,1.2023862581248508
2024-10-16,1.2182075113284718,-0.0033893501345794164,1.2162056342682623,1.2142064808183242,1.2102163329653544,1.198310950099059
2024-10-17,1.2025217211947856,-0.01287612331053567,1.2005456205504559,1.1985722084468555,1.1946334382296682,1.1828813505412183
2024-10-18,1.2094174500946109,0.005734390305211168,1.2074300177179045,1.2054452892990688,1.2014839326361335,1.189664453889977
2024-10-21,1.1995607082023396,-0.008149991462005235,1.1975894733825347,1.1956209204833672,1.1916918488434127,1.1799686987481226
2024-10-22,1.1823987408104517,-0.01430687690463528,1.180455708204564,1.1785153191494049,1.1746424602537526,1.1630870318238107
2024-10-23,1.1813500381140023,-0.0008869281235284188,1.1794087288383774,1.177470060768842,1.173600636820663,1.1620554572251747
2024-10-24,1.175458879538172,-0.004986801867154833,1.1735272511872674,1.1715982508712812,1.1677481229736715,1.1562605169013467
2024-10-25,1.1555130970638805,-0.016968507211522432,1.1536142455625784,1.1517179775023647,1.147933180527751,1.136640501981908
2024-10-28,1.1651259657606952,0.00831913434926923,1.163211317458644,1.1612992740896755,1.1574829908805455,1.146096367024716
2024-10-29,1.170166485507355,0.004326158625577392,1.1682435541330376,1.1663232389611553,1.1624904459055025,1.1510545617086632
2024-10-30,1.1682046633227308,-0.0016765325352603444,1.1662849558054253,1.1643678601044067,1.1605414928510132,1.1491247812860985
2024-10-31,1.1627161199992027,-0.004698272054416419,1.1605314320222087,1.1583502443716722,1.153998351450213,1.1410261978121994
2024-11-01,1.1671509472667743,0.00381419608044542,1.1649579264614618,1.1627684193335373,1.1583999274391548,1.1453782954635807
2024-11-04,1.1516832973015187,-0.013252484609190818,1.149519339470676,1.1473588487522661,1.1430482502294799,1.130199187231248
2024-11-05,1.161582756767894,0.008595643862831404,1.1594001983262032,1.1572211367990088,1.1528734859064849,1.1399139769387494
2024-11-06,1.1741578830425252,0.010825854810053714,1.1719516965400303,1.1697490448091203,1.165354326879269,1.1522545201490395
2024-11-07,1.1586581582033935,-0.013200716073181074,1.1564810949425226,1.1543075197917203,1.1499708152854826,1.1370439353845125
2024-11-08,1.156155479835781,-0.0021599799301401656,1.15398311898786,1.1518142387157604,1.147486901404219,1.1345879433043942
2024-11-11,1.1525014910659352,-0.003160464862705825,1.1503359958881436,1.1481739702859353,1.1438603093719162,1.1310021179759309
2024-11-12,1.1417245017860609,-0.009350954739248851,1.1395792560556646,1.1374374474570077,1.1331641233909557,1.1204261683607435
2024-11-13,1.1272136601139704,-0.012709582433757305,1.1250956795610252,1.12298109245531,1.1187620805537424,1.1061860196130233
2024-11-14,1.1252240718272815,-0.0017650498366812428,1.1231098296155655,1.120998974861476,1.116787409726176,1.1042335461597668
2024-11-18,1.1213629720920206,-0.0034314052035793186,1.1192559847020314,1.1171523731459296,1.1129552595971492,1.1004444734235073
2024-11-19,1.1237044467949697,0.002088061369264649,1.121593059886006,1.119485055859878,1.1152791784804341,1.1027422690174837
2024-11-21,1.1165748493650738,-0.0063447265428476785,1.1144768586286733,1.1123822293116423,1.1082030370740446,1.0957456708733284
2024-11-22,1.1421597882634946,0.022913769652763927,1.140013724650627,1.137871099479917,1.133596146194052,1.1208533347737333
2024-11-25,1.1540692735430058,0.01042716212030026,1.1519008325769262,1.1497358659061983,1.145416336989365,1.1325406542084977
2024-11-26,1.150549873702251,-0.003049556834617273,1.1483880455201398,1.1462296810383197,1.1419233247704168,1.1290869071159744
2024-11-27,1.1529144838879664,0.002055200074123187,1.1507482127164153,1.148585412363752,1.1442702056721281,1.1314074066111708
2024-11-28,1.1359883514168119,-0.014681169078624712,1.1338538836386005,1.1317228357235978,1.1274709813110226,1.1147970231779043
2024-11-29,1.1478983072506859,0.010484223556535444,1.1457414612351133,1.1435880709373605,1.1392916391325942,1.1264848043890614
2024-12-02,1.1575350951990455,0.008395158253556856,1.1553601421198438,1.1531886737697592,1.1488561727400661,1.1359418225921345
2024-12-03,1.1641578639257653,0.005721440977632719,1.1619704669808917,1.1597865747028073,1.1554292855241879,1.1424410466841197
2024-12-04,1.163162146013828,-0.0008553117603651295,1.1609766199752862,1.1587945956059502,1.1544410332680088,1.1414639034213676
2024-12-05,1.17220937588108,0.007778132995693854,1.170006850530345,1.167807854085265,1.1634204291604533,1.1503423614719621
2024-12-06,1.1713658334411672,-0.0007196175506435365,1.1691648930663299,1.1669674790576856,1.1625832114008523,1.1495145549193988
2024-12-09,1.1666951369331293,-0.003987393497995817,1.1645029725736322,1.1623143205193185,1.1579475346628334,1.1449309880572611
2024-12-10,1.1646460446205507,-0.0017563219796775664,1.1624577304075014,1.1602729223308963,1.1559138059563911,1.1429201205977222
2024-12-11,1.167891197901658,0.002786385868991381,1.1656967862008085,1.1635058904058524,1.1591346278510806,1.1461047370711415
2024-12-12,1.1631683932341412,-0.004043873843729839,1.1609828554573711,1.1588008193686146,1.154447233648152,1.141470034102725
2024-12-13,1.171904906034323,0.007510961311362863,1.1697029527678666,1.167504527490468,1.163118242156093,1.1500435713669503
2024-12-16,1.1671164513747991,-0.004086043701043818,1.1649234953856178,1.162734052969975,1.1583656901891621,1.1453444430762403
2024-12-17,1.1508452385888546,-0.013941379000165677,1.148682855430249,1.146523936861122,1.1422164750814463,1.1293767621095812
2024-12-18,1.1465886713494413,-0.00369864434998457,1.1444342860770877,1.1422833525799287,1.137991822569427,1.1251995991294006
2024-12-19,1.138171483256535,-0.00734107034478193,1.1360329134780156,1.133897770134966,1.1296377445481582,1.1169394297202713
2024-12-20,1.1214817099724146,-0.014663671977062531,1.1193744994796273,1.1172706651781845,1.1130731072091957,1.100560996304606
2024-12-23,1.127545565665168,0.00540700364422575,1.1254269614775674,1.1233117517363895,1.1190914975561654,1.106511733622318
2024-12-24,1.1251429365812333,-0.002130848771967231,1.1230288468187641,1.1209181442696659,1.116706882812879,1.1041539244535616
2024-12-26,1.1272465243102379,0.001869618215261104,1.1251284820070397,1.123013833250009,1.118794698342093,1.1062182707431718
2024-12-27,1.1296383344189302,0.0021218163525995593,1.1275157980189376,1.1253966623655942,1.121168575228237,1.1085654627595787
2024-12-30,1.125552482532621,-0.0036169557652369067,1.1234376232528975,1.1213261524194726,1.1171133580862629,1.104555830517908
2024-12-31,1.1273660630702724,0.0016112802963843542,1.124995493832691,1.1226292668920363,1.1179098127516598,1.1038549611448438
2025-01-01,1.1309384836522753,0.0031688204027304767,1.128560402506528,1.126186677417666,1.1214522681747194,1.1073528792673744
2025-01-02,1.1561032163012372,0.022251194925911877,1.1536722200083662,1.1512456766998513,1.1464059211939812,1.1319928040357228
2025-01-03,1.1516794530161776,-0.0038264431952821365,1.149257758792529,1.1468405005141455,1.1420192640577975,1.1276612978736116
2025-01-06,1.1311370650031916,-0.01783689720189663,1.128758566290465,1.1263844243995034,1.121649183842213,1.107547319224883
2025-01-07,1.1355854028631323,0.003932624964356757,1.1331975504069898,1.1308140719063589,1.1260602094238408,1.1119028874616732
2025-01-08,1.1345729213263387,-0.0008915943567439077,1.132187197865971,1.1298058444613206,1.1250562204957648,1.1109115211219651
2025-01-09,1.1290844023100095,-0.004837519839547277,1.1267102198342132,1.1243403862739023,1.1196137387085106,1.1055374645985558
2025-01-10,1.1212485747038063,-0.006939983928722859,1.1188908690162358,1.1165374820627478,1.1118436373554963,1.097865052361641
2025-01-13,1.1022282214672294,-0.01696354730404137,1.0999105108316187,1.097597045669041,1.092982825218519,1.0792413666124505
2025-01-14,1.108717988654317,0.0058878615704911486,1.1063866316593236,1.1040595451341202,1.0994181567923296,1.0855957903802123
2025-01-15,1.1098270210662933,0.0010002835917926056,1.1074933320531513,1.1051639177814803,1.1005178867350882,1.0866816940366484
2025-01-16,1.1131250398932908,0.0029716512252773164,1.1107844159703335,1.1084480794918876,1.1037882420616436,1.0899109330242192
2025-01-17,1.1140346331409865,0.0008171528041296394,1.1116920965706272,1.1093538509482765,1.10469020571881,1.0908015567993912
2025-01-20,1.1207645303247198,0.006041012535452861,1.118407842461574,1.116055471468108,1.1113636530993494,1.0973911026777083
2025-01-21,1.1082907758550797,-0.011129683472429375,1.1059603171818941,1.1036341273329948,1.0989945274175907,1.0851774870594448
2025-01-22,1.1135011344392387,0.004701255931810033,1.111159719683392,1.1088225938206675,1.1041611819586392,1.0902791841575497
2025-01-23,1.1203897805040184,0.006186474222362515,1.118033880646141,1.1156822962145116,1.11099204664816,1.0970241682255188
2025-01-24,1.1147806203974278,-0.005006436335100561,1.1124365152022007,1.1100967038283147,1.1054299356978123,1.091531986569231
2025-01-27,1.0994016509431455,-0.013795512025316259,1.0970898838793277,1.0947823514013872,1.0901799637267486,1.0764737439224978
2025-01-28,1.0996696062887013,0.00024372834561958712,1.0973572757817214,1.0950491808927076,1.0904456714857356,1.076736111087207
2025-01-29,1.1133435331407497,0.01243457741657239,1.1110024497810684,1.1086656547074725,1.1040049026063912,1.0901248696177401
2025-01-30,1.1183394195794718,0.004487282038301954,1.1159878311184803,1.1136405501863236,1.1089588839760538,1.095016567364682
2025-01-31,1.1345177362595278,0.014466374337533061,1.1318308929331642,1.1291496866417332,1.1238041439180215,1.1079017350968772
2025-02-01,1.1377964888055159,0.002889996728299815,1.1351018805107296,1.1324129255418887,1.1270519342171943,1.1111035674865846
2025-02-03,1.1322483972762225,-0.004876172130850898,1.129566928355307,1.126891085193746,1.1215562349855432,1.1056856352363178
2025-02-04,1.1449823298716788,0.011246589199056967,1.1422707035713593,1.1395647663009991,1.1341699172240665,1.118120827359119
2025-02-05,1.1416417291651693,-0.0029176002278427093,1.1389380143063614,1.1362399718791982,1.1308608628151606,1.1148585977784602
2025-02-06,1.1356551697794048,-0.005243816192792905,1.1329656327043547,1.1302817383157595,1.1249308363109352,1.1090124842107554
2025-02-07,1.1369042568981733,0.0010998823868437757,1.1342117616486656,1.1315249152919038,1.126168127924211,1.1102322675089284
2025-02-10,1.1278077009239602,-0.008001162735577605,1.1251367487671087,1.1224714003052931,1.1171574734650687,1.1013491184623
2025-02-11,1.1091299290013064,-0.01656113174910223,1.10650321083502,1.103882003560238,1.0986560813625192,1.0831095306096887
